nombre,no_publicaciones,no_seguidores,fecha_ult_pub,tel1,tel2,tel3,bio,link,keyword
_abrilaccesorios,358,711,20-Aug-18,3105854871,3015200133,,Ventas al por mayorbrMas info3105854871br3015200133 bra classnotranslate hrefabrilaccesoriosabrilaccesoriosa,No link,#interioresmedellin
japamalas_accesorios,46,276,20-Aug-18,3116588625,3147733942,,A l w a y s B y Y o u r S i d ebrTienda virtualbrAretas personalizadas brContactobr57 3116588625br57 3147733942brEnvíos Medellín Colombia,No link,#interioresmedellin
bonhomia_clothes,57,173,18-Aug-18,3215316855,,,La gente va a mirarte HAZ brque valga la pena  a class hrefexploretagssoybonhomiaSoyBonhomiaabrCompra Localbr 3215316855,api.whatsapp.com/send?phone=573215316855,#interioresmedellin
opalodefuego_accesories,17,448,18-Aug-18,3052236088,,,VENTA DE ACCESORIOS brINFO DIRECT o CELULAR br 3052236088brSHOWROOM PobladosuperiorbrMedellin domicilios envios a cualquier parte del pais,No link,#interioresmedellin
bambuaccesorios_dr,"2,961","5,453",20-Aug-18,3157058129,,, WhatsApp 3157058129br Tienda Virtualbr OcañaColombiabrEnvíos Nacionales br By Daniela Rochelbr                Dios bendice mi Negocio,api.whatsapp.com/send?phone=573157058129,#interioresmedellin
oddzapatos,160,415,18-Aug-18,3137683274,,, Zapatos Accesorios 3137683274 oddzapatoshotmailcom  MedellinColombia,No link,#interioresmedellin
dandalionaccessories,18,67,17-Aug-18,3013563615,,,Tienda virtual  Accesorios en Oro GolfibrPedidos e info por whatsapp  301 356 36 15br dandalionaccessoriesgmailcombrEnvíos a todo Colombia,No link,#interioresmedellin
luzcoaccesorios,18,783,16-Aug-18,3154691832,,,Venta de accesorios para mujerbr Información y pedidos Wpp 3154691832brDomicilios en Medellín br Envíos a todo el país,No link,#interioresmedellin
masalma.accesorios,16,"3,674",16-Aug-18,,,3113773160,Soul reflectionsbrbrJoyeria ornamentalbrbrDomicilios en MedellínbrbrEnvíos Nacionales,api.whatsapp.com/send?phone=573113773160,#interioresmedellin
tintin_ventas,263,"2,052",19-Aug-18,3147556707,,,Tienda virtual de accesoriosbrWsp 3147556707brDomicilios Envigado y Medellin Gratis brDomicilios a todo el país a class hrefexploretagsaccesoriosaccesoriosa a class hrefexploretagsaretasaretasa a class hrefexploretagspulseraspulserasa,No link,#interioresmedellin
accesorios_hermosos_mb,50,323,20-Aug-18,,,,Hermosos accesorios a la venta  Info  Direct  Medellin Colombia Servicio a domicilio en el sur del área metropolitana  ,No link,#interioresmedellin
lugoaccesorios,"2,293","3,822",15-Aug-18,3122131714,,,Envíos nacionales e internacionales  3122131714brMedellinColombiabrVentas por mayor y detalbrPiezas  hechas a  mano con el ,No link,#interioresmedellin
eguzman58,41,57,20-Aug-18,,,,Fotógrafa,www.eyeem.com/u/25408525,#interioresmedellin
mila_ccesorios,164,478,Private Account,,,3113780036,Ropa bolsos y másbrTobilleras collares y pulserasbrHechos a manobrTienda virtualbrEnvíos a nivel nacionalbr Pago contra entregabrWhatsApp,api.whatsapp.com/send?phone=573113780036,#interioresmedellin
pomposa_accesorios,7,128,15-Aug-18,,,,Todo tiene un comienzo Este es el nuestrobrPOMPOSAbrEs mujer es elegancia es femineidad es aroma es sonrisa es vanidad Pomposa eres   tú,No link,#interioresmedellin
thecolgandejoaccesorios,64,267,26-Jul-18,3058796513,,,Accesorios para mujer al por mayor y detalbrContacto 3058796513  brCiudad Medellín brSe hacen envíos a cualquier lugar del país,No link,#interioresmedellin
glory.serna,6,58,19-Jul-18,3012265444,,,Diseño y creacion de accesorios exclusivos brMedellín  ColombiabrContáctanosbr573012265444,No link,#interioresmedellin
