nombre,no_publicaciones,no_seguidores,fecha_ult_pub,tel1,tel2,tel3,bio,link,keyword
ale.queenaccesorios,"1,141","8,164",7-Jul-18,,,,Tienda Online            Envío Nacionales  Domicilios en Medellín    Medellín  Colombia,m.facebook.com/ale.queenaccesorios/?ref=bookmarks,#accesoriosmedellin
cerezaaccesoriosbyad,"1,368","7,333",9-Jul-18,,,,Jewelry Tienda Online   58 412 8989373 Envíos a Nivel Nacional e Internacional  Visítanos en a classnotranslate hrefangelalopezorfebreangelalopezorfebrea,No link,#accesoriosmedellin
fortunattaccesorios,101,"79,951",9-Jul-18,,,3147263169,By a classnotranslate hrefmg059mg059a  MedellinHandmadeBrand  Ventas al por mayor aumenta tus ingresos  Click y compra,api.whatsapp.com/send?phone=573147263169,#accesoriosmedellin
blossom.accessories8006,217,"7,745",30-Jun-17,3003286188,,,Lindos accesorios de fantasía fina a los mejores precios importados desde New York  Wpp 3003286188 Envíos a todo el país Medellín  Colombia,No link,#accesoriosmedellin
zafirostoree,87,244,5-Jul-18,,,,Tienda virtual  Un universo único y novedoso Por  a classnotranslate hrefsarahproblessarahproblesa,No link,#accesoriosmedellin
katrinashopmedellin,67,"28,481",30-Jun-18,3008544129,,,Para las fanaticas de los aretes exóticos y con mucho estilo  Domicilios en Medellin  Envíos al resto del país  Inf whatsapp 3008544129 ,api.whatsapp.com/send?phone=573008544129,#accesoriosmedellin
landy_accesorios,233,"1,648",9-Jul-18,3148691389,,,Ventas Al Por Mayor Y Detal Envíos  nacionales  Oro gold filled Tienda virtual  Wsp 3148691389 ItaguiAnt  seguro,api.whatsapp.com/api/send?phone=573148691389,#accesoriosmedellin
brazzcolombia,227,"3,450",7-Jul-18,,,,Accesorios Gold Filled Ventas al por mayor y al detal en tiendas mayoristas Contáctanos  ,www.roeljoyas.com,#accesoriosmedellin
kuberaaccesorios,"1,312","2,569",6-Jul-18,3030060882,,3006088259, Somos fabricantes  Ventas al por mayor y al detal   P De Venta 2pm 730 pm  3006088259 Escríbenos  Envíos a todo el país  Búscanos en,api.whatsapp.com/send?phone=573006088259,#accesoriosmedellin
kausscolombia,222,"2,698",7-Jul-18,,,,Acero Inoxidable Ventas al por mayor Ventas Al detal en tiendas  Contactanos ,www.roeljoyas.com,#accesoriosmedellin
fiorentina_tienda_ropa,"1,849","6,762",7-Jul-18,3106800760,3012187309,,Somos una marca de ropa nacional y Europea y accesorios Ventas al x mayor y al detal  envíos a todo el país   seguro   31068007603012187309,api.whatsapp.com/send?phone=3106800760,#accesoriosmedellin
